cliente,fecha,nombre_categoria,nombre_competencia, precio_competencia,vida_util,fecha_inventario,historial_compras,precio,nombre_tipo,cantidad_disponible,cantidad_comprada,tipo_promocion,fecha_inicio,fecha_fin
Cliente 1040,08/04/2021,Jugo,Delizia,80,8,04/04/2021,421,75.6,Online,50,93.96,Sin Descuento,23/01/2020,06/08/2022
Cliente 1041,19/01/2020,Mantequilla,Delizia,48.7,12,03/01/2020,87,49.6,Agencia,22,41.95,2x1,18/10/2018,01/03/2020
Cliente 1042,25/11/2022,Yogurt,Pairumani,29.7,30,19/10/2022,250,26.6,Online,449,95.76,Sin Descuento,20/03/2018,21/06/2019
Cliente 1043,17/04/2020,Mermelada,Delizia,53.9,34,30/03/2020,370,58.1,Agencia,47,24.34,Descuento Porcentual,30/08/2018,06/01/2022
Cliente 1044,05/01/2020,Yogurt,Pairumani,82.9,27,24/11/2019,99,86.8,Supermercado,280,52.82,2x1,04/12/2018,30/07/2020
Cliente 1045,05/11/2022,Mantequilla,Delizia,76.2,8,26/09/2022,228,77.4,Supermercado,534,61.06,2x1,12/02/2018,19/02/2022
Cliente 1046,14/09/2020,Helado,Pairumani,36.9,28,10/09/2020,49,38.8,Online,549,30.02,Sin Descuento,14/07/2021,19/07/2021
Cliente 1047,13/12/2022,Helado,Pairumani,84.9,26,28/10/2022,118,89.5,Online,531,57.39,Sin Descuento,15/06/2019,30/06/2019
Cliente 1048,24/02/2019,Yogurt,Delizia,47.7,27,11/02/2019,129,43.5,Supermercado,247,69.65,2x1,20/12/2021,23/12/2021
Cliente 1049,17/07/2021,Helado,Delizia,18.1,27,05/07/2021,222,13.3,Online,278,17.3,Descuento Porcentual,14/01/2020,02/10/2020
Cliente 1050,25/10/2019,Leche,Delizia,60,1,24/09/2019,356,60.2,Online,179,63.54,Sin Descuento,04/09/2020,21/08/2022
Cliente 1051,26/06/2019,Jugo,Delizia,42.3,8,01/05/2019,124,37.8,Agencia,54,12.28,Descuento Porcentual,07/10/2020,18/10/2020
Cliente 1052,13/03/2022,Mermelada,Pairumani,22.1,31,03/03/2022,94,23.1,Supermercado,291,73.52,Descuento Porcentual,01/02/2022,27/02/2022
Cliente 1053,18/12/2019,Gelatina,Nestle,49.9,119,20/10/2019,302,52.9,Online,124,71.98,Sin Descuento,24/11/2021,27/11/2021
Cliente 1054,14/02/2019,Yogurt,Delizia,54.6,23,01/02/2019,880,53.8,Agencia,40,78.98,2x1,06/09/2018,01/09/2020
Cliente 1055,09/03/2021,Mermelada,Delizia,41.9,37,02/03/2021,178,46.9,Supermercado,25,90.54,Sin Descuento,10/11/2019,11/04/2020
Cliente 1056,27/01/2020,Crema de Lecha,Delizia,84.4,6,23/12/2019,558,86.9,Agencia,408,22.34,Descuento Porcentual,09/09/2022,02/10/2022
Cliente 1057,28/01/2022,Helado,Delizia,65.9,28,01/12/2021,623,65.3,Agencia,250,10.97,2x1,30/01/2021,28/02/2021
Cliente 1058,06/07/2019,Gelatina,Delizia,27.3,136,03/06/2019,240,25,Online,270,14.77,Sin Descuento,28/02/2019,12/07/2022
Cliente 1059,26/02/2021,Helado,Delizia,36.6,25,05/01/2021,315,33.8,Online,665,41.52,Sin Descuento,30/04/2018,16/12/2018
Cliente 1060,23/11/2022,Helado,Pairumani,29.8,22,20/10/2022,45,25,Online,168,27.41,Descuento Porcentual,25/12/2022,08/01/2023
Cliente 1061,16/03/2022,Mantequilla,Delizia,79.4,14,10/03/2022,318,76.9,Supermercado,517,99.96,Descuento Porcentual,16/07/2022,18/07/2022
Cliente 1062,17/08/2020,Yogurt,Pairumani,79.9,27,23/07/2020,451,75.7,Agencia,284,49.26,2x1,17/05/2020,23/05/2020
Cliente 1063,27/06/2020,Gelatina,Delizia,88.7,119,09/05/2020,520,87,Supermercado,160,67.05,Descuento Porcentual,21/07/2019,24/07/2019
Cliente 1064,16/02/2020,Helado,Delizia,59.4,26,26/12/2019,55,57.6,Online,384,81.26,Descuento Porcentual,22/03/2019,17/04/2019
Cliente 1065,15/09/2021,Helado,Pairumani,17.6,22,29/08/2021,75,19.4,Agencia,179,62.47,2x1,14/07/2019,12/06/2021
Cliente 1066,10/02/2019,Gelatina,Delizia,85,130,18/01/2019,348,84.9,Agencia,119,60.53,2x1,21/11/2018,17/07/2019
Cliente 1067,02/12/2021,Yogurt Griego,Nestle,16.4,12,23/10/2021,318,13.8,Online,321,89.53,Descuento Porcentual,17/07/2020,10/09/2022
Cliente 1068,10/02/2021,Mantequilla,Delizia,26.5,13,07/02/2021,136,28.2,Agencia,786,27.01,Descuento Porcentual,12/06/2021,15/11/2021
Cliente 1069,16/11/2019,Leche,Nestle,61,22,18/09/2019,106,58.9,Supermercado,170,24.61,Sin Descuento,17/06/2022,30/06/2022
Cliente 1070,03/05/2019,Leche,Delizia,50.5,28,10/04/2019,63,52,Agencia,306,38.74,2x1,08/07/2022,05/08/2022
Cliente 1071,17/08/2019,Helado,Pairumani,45.9,22,12/07/2019,192,49.7,Online,131,42.07,Sin Descuento,20/12/2020,07/01/2021
Cliente 1072,08/04/2020,Mantequilla,Nestle,15.4,7,20/02/2020,55,14,Agencia,66,42.89,Sin Descuento,12/04/2019,09/05/2019
Cliente 1073,28/07/2020,Mantequilla,Delizia,75.6,10,07/07/2020,12,74.4,Supermercado,111,15.16,Descuento Porcentual,05/06/2018,07/02/2021
Cliente 1074,20/12/2019,Queso,Pairumani,69.4,89,22/11/2019,93,66.7,Online,836,35.37,Sin Descuento,02/03/2021,12/03/2022
Cliente 1075,07/04/2021,Jugo,Pairumani,23.6,14,21/02/2021,321,25.3,Agencia,282,60.82,Sin Descuento,24/03/2019,07/11/2020
Cliente 1076,26/05/2021,Gelatina,Delizia,18.9,93,19/04/2021,25,18.5,Online,222,33.51,Sin Descuento,29/10/2018,21/03/2022
Cliente 1077,08/07/2022,Gelatina,Delizia,58.9,132,10/05/2022,481,54.9,Online,129,29.91,2x1,15/07/2020,26/07/2020
Cliente 1078,05/07/2021,Queso,Delizia,32.8,52,02/07/2021,283,34.7,Agencia,20,19.19,2x1,14/11/2020,17/08/2022
Cliente 1079,20/08/2019,Gelatina,Nestle,40.6,108,10/08/2019,129,37.9,Supermercado,864,78.61,Sin Descuento,29/03/2021,03/06/2021
Cliente 1080,09/08/2020,Mermelada,Nestle,88,26,16/07/2020,168,89.6,Supermercado,48,72.24,2x1,22/07/2019,01/08/2019
Cliente 1081,04/03/2022,Mermelada,ILVA,13.6,32,16/02/2022,42,9.9,Online,167,73.08,Sin Descuento,08/08/2018,14/08/2018
Cliente 1082,14/10/2019,Jugo,Nestle,83.8,10,29/09/2019,121,88.2,Supermercado,270,95.07,Descuento Porcentual,10/07/2022,24/07/2022
Cliente 1083,13/09/2020,Yogurt,Delizia,92.4,26,27/07/2020,2,91.2,Agencia,2,39.81,Sin Descuento,05/09/2021,17/09/2021
Cliente 1084,02/10/2021,Leche,Nestle,49.5,1,16/09/2021,367,52.6,Agencia,15,12.32,Descuento Porcentual,30/04/2021,03/05/2021
Cliente 1085,17/02/2020,Gelatina,Delizia,28,104,18/01/2020,270,31.3,Online,284,53.68,Descuento Porcentual,20/05/2019,30/07/2020
Cliente 1086,09/04/2020,Crema de Lecha,Pairumani,24.2,7,23/02/2020,47,20.5,Online,317,26.38,2x1,24/12/2019,28/12/2019
Cliente 1087,19/09/2020,Mantequilla,Delizia,10.7,7,03/09/2020,383,7.5,Agencia,188,32.7,Descuento Porcentual,19/12/2020,04/01/2021
Cliente 1088,16/07/2021,Crema de Lecha,Pairumani,26.7,7,27/05/2021,170,28.9,Agencia,496,41.77,Sin Descuento,03/01/2020,09/09/2022
Cliente 1089,21/01/2020,Crema de Lecha,Delizia,38.7,5,27/11/2019,249,40,Online,330,60.27,Sin Descuento,16/03/2022,15/04/2022
Cliente 1090,14/07/2021,Gelatina,Pairumani,13.6,101,15/06/2021,75,11.1,Supermercado,282,38.45,Sin Descuento,16/03/2022,19/03/2022
Cliente 1091,25/10/2021,Helado,Delizia,67.1,29,04/10/2021,205,63.5,Agencia,260,37.2,2x1,26/10/2020,19/09/2021
Cliente 1092,17/02/2019,Helado,Pairumani,15.3,25,14/02/2019,678,15.6,Online,235,78.92,2x1,30/07/2020,26/08/2020
Cliente 1093,13/06/2020,Yogurt Griego,Delizia,98.8,13,05/05/2020,39,102.8,Online,948,45.84,2x1,05/10/2022,09/10/2022
Cliente 1094,26/06/2021,Mantequilla,Pairumani,94.5,13,23/06/2021,207,99.3,Agencia,773,83.1,2x1,06/10/2021,21/10/2021
Cliente 1095,25/01/2020,Yogurt Griego,Nestle,78.5,18,17/01/2020,16,77.7,Online,697,60.33,2x1,23/06/2020,04/06/2022
Cliente 1096,03/03/2019,Mantequilla,Pairumani,74.9,12,22/02/2019,189,77.8,Online,112,34.65,Descuento Porcentual,02/09/2019,08/01/2021
Cliente 1097,01/03/2022,Mermelada,Pairumani,46,27,09/01/2022,360,46.2,Agencia,169,69.05,Descuento Porcentual,30/06/2021,26/07/2021
Cliente 1098,17/06/2020,Gelatina,Pairumani,10.6,145,03/05/2020,482,7.9,Online,221,53.52,Sin Descuento,01/10/2019,09/07/2022
Cliente 1099,16/06/2021,Yogurt,Pairumani,99.4,21,12/06/2021,114,103.9,Online,253,76.45,Sin Descuento,02/03/2018,11/07/2020
Cliente 1100,13/01/2020,Crema de Lecha,Delizia,57.5,7,26/12/2019,131,62.3,Agencia,288,60.17,Descuento Porcentual,04/12/2020,26/02/2021
Cliente 1101,01/09/2021,Leche,Delizia,86.3,1,28/08/2021,297,82.1,Online,120,57.61,Descuento Porcentual,02/06/2019,21/08/2021
Cliente 1102,12/02/2019,Queso,Norland,26,46,20/12/2018,433,25.8,Supermercado,139,66.08,Descuento Porcentual,25/08/2022,08/09/2022
Cliente 1103,27/03/2022,Mantequilla,Delizia,66,8,29/01/2022,435,63.8,Agencia,454,23.63,Descuento Porcentual,21/09/2018,25/09/2022
Cliente 1104,09/02/2020,Crema de Lecha,Pairumani,27.4,5,06/01/2020,101,23.4,Supermercado,90,41.42,Sin Descuento,13/12/2019,04/03/2022
Cliente 1105,17/04/2019,Jugo,Delizia,20.7,9,28/03/2019,572,20.4,Agencia,83,61.5,2x1,02/08/2020,23/08/2020
Cliente 1106,07/08/2021,Yogurt,Delizia,17.1,29,19/07/2021,132,13.1,Agencia,574,59.72,Descuento Porcentual,19/01/2018,18/09/2021
Cliente 1107,17/11/2022,Leche,Delizia,64.2,29,28/10/2022,30,63.8,Supermercado,78,27.47,Descuento Porcentual,20/10/2021,18/11/2021
Cliente 1108,15/02/2021,Yogurt,Delizia,59.7,27,11/02/2021,108,60.8,Supermercado,578,20.37,2x1,23/01/2019,05/12/2020
Cliente 1109,27/04/2020,Queso,Norland,89.7,86,07/04/2020,28,94.5,Agencia,213,83.24,2x1,16/01/2020,25/01/2020
Cliente 1110,07/05/2019,Jugo,Delizia,51,13,07/04/2019,873,47.2,Supermercado,45,93.71,Descuento Porcentual,13/12/2020,29/12/2020
Cliente 1111,09/07/2019,Helado,Delizia,28.8,22,28/06/2019,15,24.7,Supermercado,19,34.08,Sin Descuento,05/12/2020,15/12/2020
Cliente 1112,19/06/2019,Queso,Purita,12.3,80,21/04/2019,223,11.5,Online,463,35.56,Descuento Porcentual,17/03/2019,01/05/2019
Cliente 1113,06/06/2019,Helado,Pairumani,12.4,24,30/04/2019,205,11.4,Agencia,132,40.98,Descuento Porcentual,25/07/2022,18/08/2022
Cliente 1114,07/12/2020,Yogurt,Delizia,12.8,26,03/11/2020,309,7.9,Agencia,17,43.61,Sin Descuento,26/08/2021,23/09/2021
Cliente 1115,07/06/2019,Queso,Delizia,62,48,08/04/2019,23,65.9,Agencia,242,36.44,Sin Descuento,12/12/2021,23/08/2022
Cliente 1116,23/01/2021,Crema de Lecha,Delizia,73.3,6,27/12/2020,570,71.7,Supermercado,156,76.25,Descuento Porcentual,02/02/2021,08/04/2021
Cliente 1117,11/10/2020,Yogurt,Pairumani,69.6,30,25/09/2020,9,67.5,Online,373,17.35,Descuento Porcentual,25/05/2022,21/06/2022
Cliente 1118,12/01/2022,Mantequilla,Pairumani,93,11,18/11/2021,316,88.3,Supermercado,72,88.44,2x1,18/07/2019,11/08/2019
Cliente 1119,22/11/2019,Mermelada,Nestle,18.1,34,20/10/2019,759,22.8,Online,46,43.47,Descuento Porcentual,19/09/2021,27/09/2021
Cliente 1120,02/06/2022,Helado,Pairumani,15.3,24,16/04/2022,667,10.4,Supermercado,164,72.07,Descuento Porcentual,22/10/2022,05/11/2022
Cliente 1121,13/04/2020,Jugo,Delizia,51.2,14,19/02/2020,10,52.5,Supermercado,176,96.53,Sin Descuento,29/08/2021,22/09/2021
Cliente 1122,15/08/2019,Yogurt,Pairumani,52.9,29,05/07/2019,236,50.5,Online,225,61.02,2x1,13/05/2020,29/05/2020
Cliente 1123,11/02/2020,Crema de Lecha,Delizia,60.3,6,14/12/2019,305,60.7,Agencia,260,94.66,2x1,26/10/2022,23/11/2022
Cliente 1124,25/08/2020,Jugo,Delizia,34.7,9,19/07/2020,137,36.6,Supermercado,145,88.84,2x1,09/10/2021,27/11/2022
Cliente 1125,07/10/2020,Helado,Pairumani,48.4,28,01/09/2020,811,45.4,Online,100,93.82,Descuento Porcentual,06/05/2020,23/05/2020
Cliente 1126,08/10/2022,Crema de Lecha,Delizia,75.4,7,12/08/2022,81,76.7,Supermercado,225,98.87,Descuento Porcentual,16/02/2018,09/10/2019
Cliente 1127,14/03/2022,Helado,Delizia,22.5,24,06/03/2022,292,24.9,Agencia,383,80.51,2x1,13/11/2022,05/12/2022
Cliente 1128,13/08/2022,Crema de Lecha,Delizia,19.8,7,12/08/2022,226,24.2,Agencia,578,44.14,2x1,12/06/2019,23/08/2019
Cliente 1129,23/07/2020,Yogurt Griego,Delizia,89.7,13,18/07/2020,120,85.6,Supermercado,319,64.77,Descuento Porcentual,05/12/2019,08/05/2020
Cliente 1130,13/05/2020,Crema de Lecha,Nestle,87.9,5,16/04/2020,275,91.3,Agencia,548,78.39,Sin Descuento,16/01/2019,11/02/2019
Cliente 1131,09/03/2019,Mantequilla,Delizia,34.2,12,16/01/2019,564,29.9,Supermercado,421,92.82,2x1,11/07/2019,07/08/2019
Cliente 1132,22/06/2020,Yogurt Griego,Delizia,44.4,16,29/05/2020,328,42.4,Online,238,98.78,2x1,01/01/2020,27/01/2020
Cliente 1133,24/09/2020,Gelatina,Delizia,97.1,117,11/08/2020,91,98.6,Agencia,92,38.66,2x1,14/10/2022,10/11/2022
Cliente 1134,18/04/2019,Gelatina,Nestle,32.3,142,03/04/2019,126,31,Agencia,94,59.37,2x1,21/09/2022,24/09/2022
Cliente 1135,10/06/2019,Mermelada,Delizia,40.3,27,25/05/2019,5,43.9,Agencia,57,21.06,2x1,16/12/2022,13/01/2023
Cliente 1136,25/09/2022,Leche,Nestle,23.5,2,31/07/2022,78,26.4,Supermercado,32,91.86,Descuento Porcentual,28/09/2021,30/05/2022
Cliente 1137,21/07/2019,Yogurt,Delizia,20.6,24,22/05/2019,81,17.7,Agencia,195,78.68,2x1,15/05/2018,22/05/2018
Cliente 1138,23/02/2020,Yogurt Griego,Delizia,48.3,17,10/02/2020,21,49.8,Online,125,40.68,Descuento Porcentual,28/06/2020,17/07/2020
Cliente 1139,08/06/2021,Leche,Pairumani,87.6,22,21/04/2021,65,84.8,Agencia,13,82.41,Sin Descuento,15/12/2021,02/01/2022
Cliente 1140,03/11/2022,Mantequilla,Pairumani,42.3,14,02/10/2022,199,47.1,Online,735,72.2,2x1,13/04/2020,19/04/2020
Cliente 1141,18/06/2021,Mermelada,Delizia,48.1,30,09/06/2021,452,47.7,Supermercado,228,15.49,2x1,03/12/2018,07/12/2018
Cliente 1142,20/01/2022,Mantequilla,Delizia,67.7,9,25/12/2021,2,64.9,Supermercado,37,91.21,Descuento Porcentual,13/10/2021,11/05/2022
Cliente 1143,15/12/2020,Gelatina,Delizia,25.5,92,18/10/2020,244,25.7,Agencia,242,89.26,Descuento Porcentual,12/11/2018,13/11/2019
Cliente 1144,02/04/2021,Mantequilla,Delizia,69.2,10,03/03/2021,20,73.9,Supermercado,927,87.48,Sin Descuento,23/01/2018,24/08/2019
Cliente 1145,24/03/2020,Queso,Purita,90.7,27,04/03/2020,137,94.1,Agencia,843,69.8,Descuento Porcentual,18/12/2019,29/12/2019
Cliente 1146,08/04/2020,Yogurt Griego,Pairumani,50.8,12,17/02/2020,224,52.1,Supermercado,7,88.14,Descuento Porcentual,16/07/2021,09/08/2021
Cliente 1147,25/06/2021,Yogurt Griego,Pairumani,26.8,13,13/06/2021,189,30.6,Online,581,38.99,Descuento Porcentual,14/08/2018,23/08/2018
Cliente 1148,10/09/2020,Yogurt,Delizia,81.5,28,07/09/2020,630,86.2,Online,109,20.49,Sin Descuento,02/05/2019,18/05/2019
Cliente 1149,07/05/2022,Leche,Delizia,47,1,10/03/2022,120,45.7,Online,777,84.39,Sin Descuento,28/03/2021,12/12/2022
Cliente 1150,15/11/2019,Crema de Lecha,Delizia,44.6,5,13/11/2019,369,43.9,Online,102,58.2,Descuento Porcentual,09/10/2020,21/10/2020
Cliente 1151,08/03/2019,Mermelada,Nestle,73.1,25,12/02/2019,490,75.1,Online,349,86.94,Descuento Porcentual,31/05/2021,01/02/2022
Cliente 1152,15/07/2020,Crema de Lecha,Delizia,85.9,6,26/05/2020,73,81.9,Online,5,96.7,Descuento Porcentual,27/11/2018,10/02/2022
Cliente 1153,24/09/2020,Yogurt,Pairumani,39.7,25,23/09/2020,300,39.9,Agencia,58,74.89,Sin Descuento,15/08/2021,03/09/2021
Cliente 1154,04/03/2021,Queso,Purita,66.1,40,21/01/2021,106,62.1,Online,827,16.72,Sin Descuento,24/03/2019,11/05/2020
Cliente 1155,28/10/2021,Yogurt,Pairumani,34.1,25,13/10/2021,516,31.7,Online,248,13.42,Sin Descuento,06/09/2019,05/10/2019
Cliente 1156,07/11/2022,Crema de Lecha,Nestle,32,5,21/09/2022,407,30.3,Supermercado,99,72.06,2x1,29/04/2021,23/05/2021
Cliente 1157,18/02/2019,Crema de Lecha,Pairumani,98,5,30/01/2019,8,100.8,Agencia,37,39.64,Descuento Porcentual,05/05/2021,10/05/2021
Cliente 1158,16/02/2021,Leche,Delizia,30.4,30,01/01/2021,324,28.9,Supermercado,505,73.58,Sin Descuento,18/05/2018,12/09/2018
Cliente 1159,05/10/2022,Yogurt,Delizia,13.5,24,20/09/2022,57,10.7,Agencia,275,45.05,2x1,04/02/2019,04/01/2021
Cliente 1160,23/07/2022,Jugo,Delizia,53.3,11,14/06/2022,949,51.1,Online,27,62.11,Descuento Porcentual,16/08/2018,30/08/2019
Cliente 1161,20/01/2020,Mantequilla,Nestle,75.3,9,04/12/2019,288,77,Agencia,697,38.64,2x1,09/01/2020,17/10/2022
Cliente 1162,27/02/2020,Helado,Delizia,64.5,23,21/02/2020,90,65.6,Agencia,34,40.89,Sin Descuento,16/01/2019,09/03/2020
Cliente 1163,02/11/2019,Leche,Nestle,52.2,28,03/09/2019,61,53.2,Agencia,66,41.53,2x1,22/03/2018,08/11/2020
Cliente 1164,24/07/2022,Crema de Lecha,Nestle,90,5,17/07/2022,144,94,Supermercado,472,69.64,Sin Descuento,27/07/2020,07/08/2020
Cliente 1165,09/10/2019,Leche,Delizia,53.9,2,27/09/2019,511,58.8,Online,148,59.9,Sin Descuento,27/01/2022,02/02/2022
Cliente 1166,08/05/2022,Mermelada,Delizia,81.7,29,17/03/2022,787,81.7,Supermercado,121,64.3,Descuento Porcentual,23/08/2020,29/08/2020
Cliente 1167,13/04/2022,Yogurt Griego,Nestle,27.4,16,11/03/2022,123,31.4,Agencia,55,99.1,Descuento Porcentual,14/07/2020,05/08/2020
Cliente 1168,27/09/2022,Jugo,Nestle,93,8,26/08/2022,899,94.6,Agencia,89,92.03,Sin Descuento,19/01/2018,18/03/2021
Cliente 1169,17/01/2019,Yogurt,Pairumani,45.6,30,05/12/2018,52,41.4,Agencia,545,32.95,Sin Descuento,25/10/2021,02/11/2021
Cliente 1170,04/06/2020,Helado,Pairumani,40.6,24,29/05/2020,137,36.1,Online,240,67.31,Descuento Porcentual,18/02/2019,17/03/2020
Cliente 1171,08/11/2019,Mantequilla,Nestle,47.9,12,29/10/2019,221,44,Online,253,39.39,2x1,30/12/2022,31/12/2022
Cliente 1172,24/03/2020,Jugo,Delizia,35.3,9,08/02/2020,366,38.3,Agencia,258,97.5,Descuento Porcentual,02/10/2018,05/01/2020
Cliente 1173,02/04/2022,Jugo,Delizia,84.7,8,26/02/2022,34,82.9,Agencia,109,55.28,2x1,29/03/2022,04/04/2022
Cliente 1174,24/10/2019,Helado,Delizia,70.5,30,17/10/2019,495,67.9,Agencia,257,10.19,Sin Descuento,12/05/2020,03/07/2021
Cliente 1175,02/12/2019,Crema de Lecha,Delizia,26.9,7,27/11/2019,485,22.8,Supermercado,392,81.27,2x1,25/10/2022,08/11/2022
Cliente 1176,10/08/2022,Helado,Pairumani,65.7,28,13/07/2022,42,61.8,Online,298,83.08,Sin Descuento,20/08/2018,20/05/2020
Cliente 1177,14/07/2022,Crema de Lecha,Nestle,46.2,5,10/07/2022,278,42,Agencia,32,79.97,2x1,01/02/2020,12/06/2020
Cliente 1178,14/11/2020,Queso,Norland,78.7,26,06/10/2020,455,81.2,Agencia,148,65.31,Descuento Porcentual,01/05/2022,27/05/2022
Cliente 1179,28/09/2019,Yogurt Griego,Delizia,70,15,20/08/2019,282,73.6,Online,221,70.66,2x1,18/01/2021,22/04/2021
Cliente 1180,15/11/2019,Yogurt Griego,Pairumani,65.6,16,27/09/2019,142,68.1,Agencia,93,91.74,Sin Descuento,15/09/2020,23/09/2020
Cliente 1181,07/07/2019,Gelatina,Pairumani,32.1,113,21/06/2019,58,33,Online,39,89.54,2x1,01/11/2022,05/11/2022
Cliente 1182,06/01/2019,Mantequilla,Pairumani,61.5,9,11/11/2018,111,57.8,Agencia,41,61.36,Descuento Porcentual,28/07/2019,19/08/2019
Cliente 1183,19/02/2021,Leche,Pairumani,14.9,1,24/01/2021,21,12.1,Agencia,471,40.62,Sin Descuento,05/10/2019,13/10/2019
Cliente 1184,21/05/2022,Leche,Delizia,16.5,1,18/04/2022,90,18.7,Agencia,760,94.08,Sin Descuento,08/02/2019,09/03/2019
Cliente 1185,19/08/2022,Jugo,Delizia,82.9,13,07/08/2022,2,81.2,Online,295,96.07,2x1,07/12/2019,20/12/2019
Cliente 1186,10/03/2021,Queso,Delizia,35.3,34,15/02/2021,117,36.5,Supermercado,729,97.06,Sin Descuento,20/12/2021,11/01/2022
Cliente 1187,19/07/2020,Gelatina,Delizia,85.5,120,23/06/2020,203,87.4,Supermercado,477,31.22,Sin Descuento,29/06/2019,16/04/2020
Cliente 1188,09/09/2020,Yogurt Griego,Delizia,36,14,11/08/2020,129,39.2,Agencia,130,50.96,Sin Descuento,28/08/2022,21/09/2022
Cliente 1189,06/04/2019,Queso,Norland,11.2,61,05/03/2019,310,8.4,Supermercado,442,51.26,2x1,12/06/2018,31/08/2021
Cliente 1190,08/02/2019,Jugo,Delizia,13.4,9,20/12/2018,381,9.4,Agencia,378,70.67,2x1,22/05/2018,22/06/2020
Cliente 1191,27/10/2022,Queso,Purita,50.3,37,12/10/2022,341,50.2,Agencia,279,95.14,2x1,31/08/2018,02/10/2019
Cliente 1192,15/11/2020,Mermelada,ILVA,40.7,40,19/10/2020,137,40.2,Supermercado,661,71.18,Sin Descuento,28/07/2020,27/12/2020
Cliente 1193,05/07/2021,Jugo,Delizia,32.9,10,28/05/2021,14,28,Supermercado,7,34.82,Sin Descuento,20/12/2020,12/01/2021
Cliente 1194,25/05/2019,Mantequilla,Delizia,65.5,14,10/04/2019,48,66,Online,81,85.73,Sin Descuento,17/04/2018,23/09/2022
Cliente 1195,15/12/2019,Gelatina,Pairumani,83.6,89,24/11/2019,520,83.2,Agencia,204,76.6,2x1,28/12/2020,17/01/2021
Cliente 1196,21/08/2020,Yogurt Griego,Delizia,64,17,20/07/2020,2,66.5,Online,14,53.03,Descuento Porcentual,17/07/2018,18/05/2019
Cliente 1197,04/01/2022,Yogurt,Delizia,38.5,27,08/12/2021,690,40.1,Supermercado,191,72.59,Sin Descuento,04/01/2020,04/06/2022
Cliente 1198,11/04/2020,Helado,Pairumani,71.1,30,06/04/2020,165,71.4,Agencia,473,22.27,Descuento Porcentual,04/08/2022,03/09/2022
Cliente 1199,12/04/2020,Gelatina,Delizia,64.9,93,31/03/2020,237,59.9,Agencia,90,16.35,Descuento Porcentual,17/12/2022,22/12/2022
Cliente 1200,01/04/2021,Yogurt,Delizia,36.9,26,20/02/2021,77,38.8,Supermercado,280,98.6,Sin Descuento,11/07/2021,09/08/2021
Cliente 1201,06/09/2022,Mermelada,Pairumani,59.9,39,05/08/2022,601,63,Supermercado,327,99.92,Descuento Porcentual,19/05/2021,17/04/2022
Cliente 1202,19/10/2022,Gelatina,Delizia,66.6,91,12/10/2022,12,71.4,Online,160,63.74,Descuento Porcentual,05/06/2019,30/06/2019
Cliente 1203,24/11/2019,Helado,Pairumani,18.3,25,28/10/2019,244,19.6,Supermercado,439,60.1,Sin Descuento,24/07/2020,06/04/2022
Cliente 1204,06/03/2019,Gelatina,Delizia,80,144,31/01/2019,214,76.3,Online,270,22.13,Descuento Porcentual,05/02/2019,11/09/2021
Cliente 1205,18/09/2022,Mantequilla,Nestle,18.4,14,06/09/2022,439,19.3,Supermercado,395,58.53,2x1,04/09/2019,27/04/2021
Cliente 1206,10/02/2019,Leche,Delizia,48.3,28,14/12/2018,70,48,Online,779,17.39,Sin Descuento,15/02/2022,21/11/2022
Cliente 1207,08/10/2019,Mermelada,Delizia,94.2,38,17/08/2019,9,92.8,Online,44,13.67,Descuento Porcentual,24/10/2019,16/06/2021
Cliente 1208,26/11/2019,Leche,Nestle,94.4,2,28/09/2019,60,95.8,Supermercado,170,47.35,2x1,11/04/2020,08/07/2020
Cliente 1209,26/06/2022,Leche,Pairumani,10.6,1,08/06/2022,93,10,Supermercado,33,83.52,Descuento Porcentual,06/04/2021,27/04/2021
Cliente 1210,19/03/2021,Yogurt,Delizia,11.5,25,06/03/2021,462,14.5,Agencia,74,86.86,Sin Descuento,07/12/2018,03/11/2022
Cliente 1211,01/08/2019,Crema de Lecha,Nestle,56.3,6,22/06/2019,17,53.3,Supermercado,108,39.27,2x1,16/11/2022,13/12/2022
Cliente 1212,27/05/2020,Helado,Pairumani,78.4,29,06/04/2020,235,79.2,Agencia,158,42.38,Descuento Porcentual,04/01/2020,28/08/2021
Cliente 1213,27/06/2021,Yogurt,Delizia,78.5,26,12/06/2021,502,75.3,Agencia,471,84.01,2x1,01/12/2019,15/09/2021
Cliente 1214,10/02/2021,Gelatina,Nestle,88.7,74,20/12/2020,71,85.3,Supermercado,720,75.67,Descuento Porcentual,13/11/2018,15/12/2022
Cliente 1215,16/12/2022,Mantequilla,Nestle,74.1,12,01/11/2022,309,70.8,Online,328,16.9,Sin Descuento,21/01/2018,25/12/2018
Cliente 1216,02/08/2019,Jugo,Pairumani,16.3,12,11/06/2019,23,18.1,Supermercado,2,56.94,Descuento Porcentual,11/07/2018,20/04/2020
Cliente 1217,09/08/2021,Yogurt Griego,Pairumani,58,14,23/06/2021,257,59.7,Agencia,634,60.31,Descuento Porcentual,29/04/2018,25/08/2022
Cliente 1218,20/08/2019,Leche,Nestle,17.7,26,09/08/2019,556,19.7,Agencia,272,15.63,2x1,02/01/2021,03/09/2022
Cliente 1219,05/05/2021,Leche,Delizia,82.2,2,21/04/2021,192,79.7,Supermercado,8,45.4,Sin Descuento,10/04/2022,26/04/2022
